tokenname;genger;origin;
ERNEST;F;bielsko;
ERNESTYNA;F;bielsko;
ERWINA;F;bielsko;
ERYKA;F;bielsko;
ESTERA;F;bielsko;
EUFEMIA;F;bielsko;
EUFEMIA KATARZYNA;F;bielsko;
EUGENIA;F;bielsko;
EUGENIUSZ;F;bielsko;
EUGENIUSZ==;F;bielsko;
EUGIENIA;F;bielsko;
EULALIA;F;bielsko;
EUNIKA;F;bielsko;
EVA;F;bielsko;
EVE;F;bielsko;
EVELINE;F;bielsko;
EVGENY;F;bielsko;
EWA;F;bielsko;
EWADO RĄK WŁASNYCH;F;bielsko;
EWA ANNA;F;bielsko;
EWA,PAWEŁ;F;bielsko;
EWA==;F;bielsko;
EWELINA;F;bielsko;
FELICJA;F;bielsko;
FELICJA==;F;bielsko;
FELIKS;F;bielsko;
FELIKSA;F;bielsko;
FERDYNAND;F;bielsko;
FILIP;F;bielsko;
FILIPINA;F;bielsko;
FILIPPO;F;bielsko;
FILOMENA;F;bielsko;
FLORA;F;bielsko;
FLORENTYNA;F;bielsko;
FRANCESCA;F;bielsko;
FRANCISZEK;F;bielsko;
FRANCISZKA;F;bielsko;
FREDA;F;bielsko;
FRYDERYKA;F;bielsko;
GABRIELA;F;bielsko;
GALINA;F;bielsko;
GANNA;F;bielsko;
GENOWEFA;F;bielsko;
GENOWEFA==;F;bielsko;
GEORGINIA;F;bielsko;
GERTA;F;bielsko;
GERTRUDA;F;bielsko;
GĘBALA;F;bielsko;
GINETTA;F;bielsko;
GIOIA;F;bielsko;
GIZELA;F;bielsko;
GOTFRYDA;F;bielsko;
GRACJANA;F;bielsko;
GRAZYNA;F;bielsko;
GRAŻYNA;F;bielsko;
GRETA;F;bielsko;
GRZEGORZ;F;bielsko;
GUSTAW;F;bielsko;
HALINA;F;bielsko;
HALINA==;F;bielsko;
HALLINA;F;bielsko;
HALSZKA;F;bielsko;
HANKA;F;bielsko;
HANNA;F;bielsko;
HANNELORA;F;bielsko;
HELENA;F;bielsko;
HELENA==;F;bielsko;
HELGA;F;bielsko;
HENRIETTA;F;bielsko;
HENRYK;F;bielsko;
HENRYKA;F;bielsko;
HERMINA;F;bielsko;
HERTA;F;bielsko;
HIERONIM;F;bielsko;
HILARIA;F;bielsko;
HILDA;F;bielsko;
HILDEGARDA;F;bielsko;
HONORATA;F;bielsko;
HORTENSJA;F;bielsko;
IDA;F;bielsko;
IGA;F;bielsko;
ILGA;F;bielsko;
ILONA;F;bielsko;
ILZA;F;bielsko;
INA;F;bielsko;
INES;F;bielsko;
INEZ;F;bielsko;
INGA;F;bielsko;
INGEBORGA;F;bielsko;
INGRYDA;F;bielsko;
INNA;F;bielsko;
INNES;F;bielsko;
IRENA;F;bielsko;
IRENA - DOM OPIEKI SPOŁ.;F;bielsko;
IRENA==;F;bielsko;
IRINA;F;bielsko;
IRMA;F;bielsko;
IRMGARDA;F;bielsko;
IRMINA;F;bielsko;
IRYNA;F;bielsko;
ISABELLA;F;bielsko;
ISMENA;F;bielsko;
IVANA;F;bielsko;
IWA;F;bielsko;
IWETTA;F;bielsko;
IWONA;F;bielsko;
IWONA, RAFAŁ;F;bielsko;
IZABELA;F;bielsko;
IZABELA==;F;bielsko;
IZABELLA;F;bielsko;
JACEK;F;bielsko;
JADIWGA;F;bielsko;
JADWIGA;F;bielsko;
JADWIGA,STANISŁAW;F;bielsko;
JAGNA;F;bielsko;
JAGODA;F;bielsko;
JAKUB;F;bielsko;
JAN;F;bielsko;
JANA;F;bielsko;
JANETA;F;bielsko;
JANINA;F;bielsko;
JANINA==;F;bielsko;
JANINIA;F;bielsko;
JANUSZ;F;bielsko;
JARMIŁA;F;bielsko;
JAROMIRA;F;bielsko;
JAROSŁAW;F;bielsko;
JAROSŁAWA;F;bielsko;
JASMINKA;F;bielsko;
JELENA;F;bielsko;
JENNIFER;F;bielsko;
JERZY;F;bielsko;
JESSICA;F;bielsko;
JIRINA;F;bielsko;
JOANNA;F;bielsko;
JOLANAT;F;bielsko;
JOLANATA;F;bielsko;
JOLANTA;F;bielsko;
JOLANTA,ŁUKASZ;F;bielsko;
JOWITA;F;bielsko;
JÓZEF;F;bielsko;
JÓZEF, MARIA;F;bielsko;
JÓZEFA;F;bielsko;
JÓZEFA==;F;bielsko;
JÓZEFIA;F;bielsko;
JÓZEFINA;F;bielsko;
JÓŻEFA;F;bielsko;
JUDYTA;F;bielsko;
JULIA;F;bielsko;
JULIA==;F;bielsko;
JULIAN;F;bielsko;
JULIANNA;F;bielsko;
JULIE;F;bielsko;
JULIE ANNE;F;bielsko;
JULITA;F;bielsko;
JULITTA;F;bielsko;
JULIUSZ;F;bielsko;
JURAND;F;bielsko;
JUSTINE;F;bielsko;
JUSTYNA;F;bielsko;
JUTTA;F;bielsko;
KAJA;F;bielsko;
KALINA;F;bielsko;
KALUDIA;F;bielsko;
KAMILA;F;bielsko;
KAMILLA;F;bielsko;
KARINA;F;bielsko;
KARMEN;F;bielsko;
KAROL;F;bielsko;
KAROLA;F;bielsko;
KAROLIINA;F;bielsko;
KAROLINA;F;bielsko;
KATARINA;F;bielsko;
KATARZYNA;F;bielsko;
KATARZYNA,WIESŁAW;F;bielsko;
KATARZYNA==;F;bielsko;
KATERINA;F;bielsko;
KATERYNA;F;bielsko;
KATRZYNA;F;bielsko;
KAZIMIERA;F;bielsko;
KAZIMIERZ;F;bielsko;
KINGA;F;bielsko;
KLARA;F;bielsko;
KLAUDIA;F;bielsko;
KLAUDYNA;F;bielsko;
KLEMENTYNA;F;bielsko;
KLINIKA STOMATOLOGICZNA;F;bielsko;
KLOTYLDA;F;bielsko;
KONSTANCJA;F;bielsko;
KONSTANTYNA;F;bielsko;
KONSUELA;F;bielsko;
KORALIA;F;bielsko;
KORNELIA;F;bielsko;
KRISTA;F;bielsko;
KRYSTYNA;F;bielsko;
KRYSTYNA MAŁGORZATA;F;bielsko;
KRYSTYNA,ZBIGNIEW;F;bielsko;
KRYSTYNA==;F;bielsko;
KRYSYTNA;F;bielsko;
KRZYSZTOF;F;bielsko;
KRZYSZTOFA;F;bielsko;
KSAWERA;F;bielsko;
KSENIA;F;bielsko;
KSYMENA;F;bielsko;
KUNEGUNDA;F;bielsko;
LAJLOMA;F;bielsko;
LARYSA;F;bielsko;
LAURA;F;bielsko;
LECHISŁAW;F;bielsko;
LENA;F;bielsko;
LEOKADIA;F;bielsko;
LEON;F;bielsko;
LEONA;F;bielsko;
LEONARDA;F;bielsko;
LEONIA;F;bielsko;
LEONORA;F;bielsko;
LEONTYNA;F;bielsko;
LEOPOLDA;F;bielsko;
LESIA;F;bielsko;
LESŁAWA;F;bielsko;
LESZEK;F;bielsko;
LESZKA;F;bielsko;
LIDIA;F;bielsko;
LIDIA==;F;bielsko;
LIGIA;F;bielsko;
LILA;F;bielsko;
LILI;F;bielsko;
LILIA;F;bielsko;
LILIANA;F;bielsko;
LILIANNA;F;bielsko;
LILIT;F;bielsko;
LILLA;F;bielsko;
LINA;F;bielsko;
LINDA;F;bielsko;
LIUDMYLA;F;bielsko;
LIWIA;F;bielsko;
