tokenname;genger;origin;
BARBARA`;F;katowice;
BARBORA;F;katowice;
BARNADETA;F;katowice;
BATKHISHIG;F;katowice;
BAYAN;F;katowice;
BAYARMAA;F;katowice;
BEATA;F;katowice;
BEATA+MARIA;F;katowice;
BEATRICA;F;katowice;
BEATRICE;F;katowice;
BEATRIZ;F;katowice;
BEATRYCA;F;katowice;
BEATRYCJA;F;katowice;
BEATRYCZE;F;katowice;
BEBA;F;katowice;
BEKTI;F;katowice;
BELITA;F;katowice;
BENEDYKTA;F;katowice;
BENIGNA;F;katowice;
BENITA;F;katowice;
BERENIKA;F;katowice;
BERGILD;F;katowice;
BERNADETA;F;katowice;
BERNADETTA;F;katowice;
BERNARD;F;katowice;
BERNARDA;F;katowice;
BERNARDETA;F;katowice;
BERNARDYNA;F;katowice;
BERTA;F;katowice;
BETINA;F;katowice;
BETTINA;F;katowice;
BEVELYN;F;katowice;
BEYZA;F;katowice;
BHIRANA;F;katowice;
BIANKA;F;katowice;
BIBIANA;F;katowice;
BIBIANNA;F;katowice;
BILGEN;F;katowice;
BINDU;F;katowice;
BITNA;F;katowice;
BIWON;F;katowice;
BLANDYNA;F;katowice;
BLANKA;F;katowice;
BLESSING;F;katowice;
BŁASZCZYK ZOFIA;F;katowice;
BOGDA;F;katowice;
BOGDAN;F;katowice;
BOGDANA;F;katowice;
BOGDANNA;F;katowice;
BOGNA;F;katowice;
BOGUMIŁA;F;katowice;
BOGUMIOLA;F;katowice;
BOGUMUIŁA;F;katowice;
BOGUSŁAWA;F;katowice;
BOGUSŁWA;F;katowice;
BOHDAN;F;katowice;
BOJANA;F;katowice;
BOLESŁAW;F;katowice;
BOLESŁAWA;F;katowice;
BORAM;F;katowice;
BORZYSŁAWA;F;katowice;
BOTAGOZ;F;katowice;
BOZ(IDARA;F;katowice;
BOZENA;F;katowice;
BOZHENA;F;katowice;
BOZŻENA;F;katowice;
BOŻENA;F;katowice;
BOŻENNA;F;katowice;
BOŻYNA;F;katowice;
BRANISLAVA;F;katowice;
BRIGITTE;F;katowice;
BRONISŁAW;F;katowice;
BRONISŁAWA;F;katowice;
BRUNA;F;katowice;
BRYGIDA;F;katowice;
BUS{RA;F;katowice;
BULGANMAA;F;katowice;
BURCU;F;katowice;
BUSRA;F;katowice;
CALYPSO;F;katowice;
CAMILLA;F;katowice;
CAMILLE;F;katowice;
CANDAN;F;katowice;
CANSU;F;katowice;
CARIN;F;katowice;
CARISE;F;katowice;
CARMEN;F;katowice;
CAROLEN;F;katowice;
CAROLINA;F;katowice;
CAROLINE;F;katowice;
CASSANDRA;F;katowice;
CATALEYA;F;katowice;
CATHERINA;F;katowice;
CATHERINE;F;katowice;
CATHERINNE;F;katowice;
CECYLIA;F;katowice;
CECYLIA-MARIA;F;katowice;
CELESTYNA;F;katowice;
CELINA;F;katowice;
CELINE;F;katowice;
CEZARA;F;katowice;
CHAERIN;F;katowice;
CHANDNI;F;katowice;
CHANTAL;F;katowice;
CHARIKLIA;F;katowice;
CHARLOTTE;F;katowice;
CHAU;F;katowice;
CHAU ANH;F;katowice;
CHEJUTA;F;katowice;
CHEN-KUAN;F;katowice;
CHENG-XIN;F;katowice;
CHENOA;F;katowice;
CHERYL;F;katowice;
CHIA-CHEN;F;katowice;
CHIA-JUNG;F;katowice;
CHIAO-YUN;F;katowice;
CHIARA;F;katowice;
CHIEMI;F;katowice;
CHIEN;F;katowice;
CHIH-HSUAN;F;katowice;
CHIH-JOU;F;katowice;
CHIH-YU;F;katowice;
CHING-YI;F;katowice;
CHISMOM;F;katowice;
CHLOE;F;katowice;
CHONG;F;katowice;
CHRISTINA;F;katowice;
CHRISTINE;F;katowice;
CHRYSTOF;F;katowice;
CHRYZANTA;F;katowice;
CHUN-AN;F;katowice;
CHYNARA;F;katowice;
CIESZYSŁAWA;F;katowice;
CINDY;F;katowice;
CINDYRELLA;F;katowice;
CINTHIA;F;katowice;
CLAUDIA;F;katowice;
CONSUELA;F;katowice;
CRISTINA;F;katowice;
CYNTHIA;F;katowice;
CYRYLA;F;katowice;
CZESŁAW;F;katowice;
CZESŁAWA;F;katowice;
C{IGDEM;F;katowice;
DAGMAR;F;katowice;
DAGMARA;F;katowice;
DAGNA;F;katowice;
DAGNE;F;katowice;
DAGNY;F;katowice;
DAHEE;F;katowice;
DAINA;F;katowice;
