tokenname;genger;origin;
EMIL;M;bielsko;
EMILIA;M;bielsko;
EMILIAN;M;bielsko;
ENEASZ;M;bielsko;
ERMIN;M;bielsko;
ERNEST;M;bielsko;
ERWIN;M;bielsko;
ERYK;M;bielsko;
EUGENIA;M;bielsko;
EUGENIUSZ;M;bielsko;
EUGENIUSZ==;M;bielsko;
EUSTACHIUSZ;M;bielsko;
EUSTACHY;M;bielsko;
EUZEBIUSZ;M;bielsko;
EWA;M;bielsko;
EWALD;M;bielsko;
EWARYST;M;bielsko;
FABIAN;M;bielsko;
FELIKS;M;bielsko;
FELIX;M;bielsko;
FERDYNAND;M;bielsko;
FERDYNARD;M;bielsko;
FILIP;M;bielsko;
FILIPPOS;M;bielsko;
FLORIAN;M;bielsko;
FRANCESCO;M;bielsko;
FRANCIESZEK;M;bielsko;
FRANCISZEK;M;bielsko;
FRANCISZEK WŁADYSŁAWA;M;bielsko;
FRANCISZEK, MARIA;M;bielsko;
FRANCISZEK,IRENA;M;bielsko;
FRANCISZEK==;M;bielsko;
FRANCISZKA;M;bielsko;
FRYDERYK;M;bielsko;
FRYDERYKA;M;bielsko;
GABRIEL;M;bielsko;
GABRIELA, WOJCIECH;M;bielsko;
GAJUSZ;M;bielsko;
GASPARD;M;bielsko;
GENOWEFA;M;bielsko;
GEORGI;M;bielsko;
GERARD;M;bielsko;
GERCHARD;M;bielsko;
GERERD;M;bielsko;
GERGELY;M;bielsko;
GEROLF;M;bielsko;
GERTRUDA;M;bielsko;
GERZEGORZ;M;bielsko;
GIANLUCA;M;bielsko;
GIEORGI;M;bielsko;
GINTER;M;bielsko;
GIUSEPPE;M;bielsko;
GOTFRYD;M;bielsko;
GOTFRYDA;M;bielsko;
GRACJAN;M;bielsko;
GRAŻYNA;M;bielsko;
GREGOR;M;bielsko;
GROMOSŁAW;M;bielsko;
GRZAGORZ;M;bielsko;
GRZEGORZ;M;bielsko;
GRZEGORZ,BEATA;M;bielsko;
GRZEGORZ,GRAŻYNA;M;bielsko;
GRZEGORZ==;M;bielsko;
GUILLAUME;M;bielsko;
GUNTER;M;bielsko;
GUSTAW;M;bielsko;
HAI;M;bielsko;
HAITHAM;M;bielsko;
HALINA;M;bielsko;
HANNA;M;bielsko;
HARALD;M;bielsko;
HAYRI;M;bielsko;
HELENA;M;bielsko;
HELMUT;M;bielsko;
HENRYK;M;bielsko;
HENRYK, STANISŁAWA;M;bielsko;
HENRYK==;M;bielsko;
HENRYKA;M;bielsko;
HERBERT;M;bielsko;
HERMAN;M;bielsko;
HERYK;M;bielsko;
HIERONIM;M;bielsko;
HIERONIM==;M;bielsko;
HILARY;M;bielsko;
HORST;M;bielsko;
HUBERT;M;bielsko;
IGNACY;M;bielsko;
IGOR;M;bielsko;
IHOR;M;bielsko;
ILDEFONS;M;bielsko;
ILIA;M;bielsko;
ILIJA;M;bielsko;
ILONA;M;bielsko;
IRENA;M;bielsko;
IRENEUSZ;M;bielsko;
IRENEUSZ,DOROTA;M;bielsko;
IRENEUSZ==;M;bielsko;
ISA;M;bielsko;
IVAN;M;bielsko;
IWAN;M;bielsko;
IWO;M;bielsko;
IWONA;M;bielsko;
IZAAK;M;bielsko;
IZABELA;M;bielsko;
IZYDOR;M;bielsko;
JACEK;M;bielsko;
JACEK TEODOR;M;bielsko;
JACEK,EWA;M;bielsko;
JACEK,KATARZYNA;M;bielsko;
JACENTY;M;bielsko;
JACQUES;M;bielsko;
JADWIGA;M;bielsko;
JADWIGA==;M;bielsko;
JAKUB;M;bielsko;
JAMES;M;bielsko;
JAMES I TERESA;M;bielsko;
JAN;M;bielsko;
JAN STEFAN;M;bielsko;
JAN,GRAŻYNA;M;bielsko;
JAN==;M;bielsko;
JANINA;M;bielsko;
JANUARY;M;bielsko;
JANUSCH;M;bielsko;
JANUSZ;M;bielsko;
JANUSZ FHU "KONFEX";M;bielsko;
JANUSZ I AGNIESZKA;M;bielsko;
JANUSZ,BEATA;M;bielsko;
JANUSZ==;M;bielsko;
JAROMIR;M;bielsko;
JAROSŁAW;M;bielsko;
JAROSŁAW W UPADŁ. LIKW.;M;bielsko;
JAROSŁAW==;M;bielsko;
JAUME;M;bielsko;
JEREMI;M;bielsko;
JEREMIASZ;M;bielsko;
JEROME;M;bielsko;
JERZY;M;bielsko;
JERZY I IRENA;M;bielsko;
JERZY MARCIN;M;bielsko;
JERZY,BOŻENA;M;bielsko;
JERZY==;M;bielsko;
JĘDRZEJ;M;bielsko;
JOACHIM;M;bielsko;
JOANNA;M;bielsko;
JOCELYN;M;bielsko;
JOLANTA;M;bielsko;
JONASZ;M;bielsko;
JONATHAN;M;bielsko;
JONG IN;M;bielsko;
JOSE;M;bielsko;
JOSEF;M;bielsko;
JOSEPH;M;bielsko;
JOZEF;M;bielsko;
JÓZEF;M;bielsko;
JÓZEF,BARBARA;M;bielsko;
JÓZEF,MARIA;M;bielsko;
JÓZEF==;M;bielsko;
JÓZEFA;M;bielsko;
JÓZEJ;M;bielsko;
JÓŻEF;M;bielsko;
JULIAN;M;bielsko;
JULIUSZ;M;bielsko;
JURAJ;M;bielsko;
JURAND;M;bielsko;
KACPER;M;bielsko;
KAJETAN;M;bielsko;
KAMIL;M;bielsko;
KAMILA;M;bielsko;
KANCELARIA ADWOKACKA;M;bielsko;
KAROL;M;bielsko;
KATARZYNA;M;bielsko;
KATARZYNA==;M;bielsko;
KAZIIMIERZ;M;bielsko;
KAZIMIERA;M;bielsko;
KAZIMIERZ;M;bielsko;
KAZIMIERZ,DANUTA;M;bielsko;
KHALIL;M;bielsko;
KIM;M;bielsko;
KINGA;M;bielsko;
KLAUDIUSZ;M;bielsko;
KLAUS;M;bielsko;
KLEMENS;M;bielsko;
KONDRAT;M;bielsko;
KONRAD;M;bielsko;
